time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon,city_code
2021-04-18,51,26.8,27.4,26.0,29.6,0.4,25.7,34.6,60,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-19,51,26.7,27.4,25.4,29.2,0.8,25.7,33.8,88,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-20,3,26.9,27.2,26.5,29.0,0.0,26.2,34.9,92,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-21,51,26.9,27.5,26.1,29.2,0.2,25.1,33.5,80,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-22,3,26.7,27.4,26.1,30.8,0.0,13.7,22.3,78,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-23,2,27.1,27.6,26.5,31.6,0.0,18.2,23.4,134,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-24,3,27.6,28.1,27.0,30.7,0.0,22.5,29.9,147,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-25,51,27.7,28.0,27.2,31.5,0.1,23.7,31.0,136,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-26,51,27.5,27.9,27.1,30.8,0.1,25.4,33.5,116,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-27,3,27.5,27.9,26.9,31.1,0.0,21.4,28.8,103,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-28,3,27.5,28.0,27.1,32.1,0.0,14.0,20.2,81,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-29,51,27.5,27.9,27.0,31.7,0.1,15.5,22.0,49,三沙市,海南省,华南,16.831039,112.34882,460300
2021-04-30,51,27.2,27.8,26.1,31.8,0.2,16.1,22.7,69,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-01,0,27.7,28.3,27.2,32.7,0.0,13.1,18.0,112,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-02,3,28.1,28.8,27.5,31.9,0.0,21.9,29.2,117,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-03,3,28.3,29.0,27.6,31.7,0.0,20.9,29.2,113,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-04,3,28.5,29.0,27.9,32.9,0.0,20.4,28.8,133,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-05,3,28.3,28.8,27.7,33.0,0.0,27.9,36.0,76,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-06,3,28.1,28.4,27.7,31.3,0.0,27.6,36.4,60,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-07,3,28.4,28.9,27.8,31.3,0.0,23.2,32.8,58,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-08,3,28.0,28.2,27.6,32.8,0.0,14.0,20.5,86,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-09,2,28.4,29.0,27.8,33.6,0.0,16.2,22.7,145,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-10,2,28.8,29.3,28.0,33.3,0.0,20.3,27.0,161,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-11,3,28.9,29.3,28.5,33.6,0.0,19.7,26.3,155,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-12,1,28.9,29.4,28.5,33.9,0.0,22.8,29.9,161,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-13,55,28.5,29.1,27.8,33.3,4.2,25.5,33.5,141,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-14,51,29.3,29.8,28.6,33.5,0.1,24.8,33.1,138,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-15,1,29.5,29.7,29.1,34.2,0.0,21.8,28.4,136,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-16,2,29.7,30.1,29.0,34.0,0.0,23.7,31.0,141,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-17,51,29.3,29.7,29.0,34.1,0.4,25.6,34.6,142,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-18,51,29.3,29.8,28.9,34.5,0.1,21.4,29.5,135,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-19,3,29.5,29.8,29.1,34.0,0.0,23.9,31.7,154,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-20,51,29.1,29.6,28.2,33.3,0.6,31.0,40.7,165,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-21,51,29.4,30.0,28.8,33.7,0.7,31.7,41.4,169,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-22,51,28.8,29.2,28.3,33.4,1.0,25.9,34.9,164,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-23,51,28.8,29.4,28.0,33.3,1.0,30.6,40.3,147,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-24,61,29.0,29.6,27.9,32.7,5.2,30.6,40.3,143,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-25,61,29.3,30.0,27.5,32.5,4.3,31.3,42.5,140,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-26,55,29.2,30.1,27.9,32.3,2.5,31.3,44.6,149,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-27,51,29.4,29.8,28.9,32.5,0.7,34.7,46.8,152,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-28,3,29.5,29.8,29.4,33.7,0.0,25.3,33.1,180,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-29,3,29.4,29.6,29.1,33.7,0.0,25.8,33.8,194,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-30,3,29.6,30.1,29.0,33.5,0.0,30.3,40.0,201,三沙市,海南省,华南,16.831039,112.34882,460300
2021-05-31,2,29.7,30.0,29.4,34.2,0.0,26.5,34.2,193,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-01,3,29.7,30.1,29.4,34.5,0.0,27.3,35.3,187,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-02,3,29.5,30.0,29.2,34.3,0.0,27.0,35.3,179,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-03,3,29.5,30.0,29.0,34.5,0.0,25.0,33.1,191,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-04,3,30.0,30.3,29.6,34.9,0.0,31.4,40.7,205,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-05,63,29.4,30.0,28.5,34.5,7.1,27.3,36.4,228,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-06,53,29.1,29.9,28.1,34.2,6.0,24.2,34.9,218,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-07,63,29.4,30.1,27.8,33.9,12.2,29.9,39.2,169,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-08,61,28.6,29.4,27.5,32.7,15.3,25.5,34.6,182,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-09,63,28.1,29.0,26.9,33.2,10.5,14.4,22.0,206,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-10,63,27.3,28.3,26.5,31.7,29.7,20.8,33.8,300,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-11,65,27.1,27.9,26.5,30.3,105.4,43.3,59.0,266,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-12,65,28.8,29.7,27.1,30.0,22.8,47.1,65.2,189,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-13,51,29.4,30.0,28.8,31.8,0.4,39.8,55.8,178,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-14,51,29.4,29.8,28.9,33.5,0.7,26.5,35.6,201,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-15,3,29.3,29.6,29.0,32.7,0.0,33.4,43.9,197,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-16,3,29.3,29.6,29.0,32.6,0.0,35.5,46.8,190,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-17,53,29.4,29.6,29.1,32.9,1.0,33.6,44.3,191,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-18,3,29.4,29.8,29.0,33.2,0.0,30.2,39.6,201,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-19,51,29.6,30.0,29.2,33.0,0.2,37.9,50.4,204,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-20,51,29.5,30.0,29.2,33.4,0.2,35.0,45.4,201,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-21,3,29.6,29.9,29.2,33.3,0.0,38.2,50.4,196,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-22,3,29.6,29.9,29.2,34.0,0.0,32.2,42.8,198,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-23,3,29.6,30.1,29.3,34.3,0.0,31.3,41.0,204,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-24,3,29.5,30.0,29.0,33.9,0.0,29.0,38.2,193,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-25,51,29.5,30.1,29.1,32.8,0.9,32.5,43.2,189,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-26,53,29.5,29.8,29.2,32.1,1.0,39.2,51.5,196,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-27,3,29.5,29.9,29.1,32.4,0.0,35.3,46.8,198,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-28,3,29.3,29.6,29.0,32.2,0.0,37.2,48.6,195,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-29,3,29.4,29.5,29.1,31.9,0.0,40.6,53.6,189,三沙市,海南省,华南,16.831039,112.34882,460300
2021-06-30,3,29.4,29.7,29.1,31.8,0.0,40.8,53.6,187,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-01,3,29.3,29.6,29.0,32.5,0.0,38.1,50.4,186,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-02,3,29.3,29.5,28.9,33.1,0.0,36.2,47.5,191,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-03,3,29.1,29.2,29.0,34.0,0.0,25.3,33.5,191,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-04,3,29.0,29.5,28.6,34.8,0.0,19.9,26.6,166,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-05,63,28.2,29.2,27.0,32.0,19.1,36.4,52.6,43,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-06,63,28.1,29.1,27.0,29.7,16.3,46.6,61.6,120,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-07,61,28.4,29.2,27.2,29.4,4.7,46.8,63.4,176,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-08,55,28.6,29.1,27.1,31.2,2.3,38.2,52.6,147,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-09,51,28.6,28.9,28.1,32.9,0.2,26.1,35.3,123,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-10,53,28.4,28.9,27.7,34.0,2.6,20.5,28.1,93,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-11,51,28.7,29.2,27.8,33.9,0.3,19.4,27.7,117,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-12,51,29.1,29.5,28.6,34.5,0.7,18.1,24.1,103,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-13,51,28.7,29.8,28.0,33.9,1.0,21.7,30.2,139,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-14,51,29.0,29.6,28.5,34.4,0.4,18.0,25.9,115,三沙市,海南省,华南,16.831039,112.34882,460300
2021-07-15,53,28.3,29.0,27.4,34.2,3.7,14.2,23.0,105,三沙市,海南省,华南,16.831039,112.34882,460300
