time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon,city_code
2021-04-17,71,4.9,11.4,0.8,-0.0,0.4,28.8,51.5,350,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-18,2,7.9,18.0,-4.1,3.3,0.0,22.3,44.3,192,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-19,0,10.0,16.7,3.3,4.4,0.0,28.7,55.1,340,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-20,2,7.5,15.3,-2.8,2.8,0.0,20.4,40.0,200,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-21,3,13.7,22.3,1.8,9.8,0.0,27.7,48.2,184,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-22,3,16.4,20.6,11.3,10.9,0.0,30.1,56.5,187,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-23,3,11.9,16.6,6.8,9.1,0.0,19.8,38.2,144,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-24,3,8.3,14.0,4.1,3.6,0.0,18.5,35.6,10,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-25,3,9.8,16.9,1.0,5.7,0.0,14.4,24.8,155,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-26,3,13.3,20.0,5.3,8.3,0.0,27.4,53.3,185,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-27,51,11.2,15.4,6.2,5.6,0.2,25.5,49.0,263,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-28,2,7.1,11.6,1.0,1.0,0.0,30.9,57.6,284,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-29,73,4.2,10.6,-2.1,-0.3,0.5,16.1,31.0,313,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-04-30,51,4.7,10.8,-2.7,0.8,0.3,11.1,25.6,314,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-05-01,51,7.5,14.6,1.6,3.5,0.9,16.6,35.3,9,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
2021-05-02,3,10.8,17.4,2.0,6.7,0.0,16.5,29.9,216,兴安盟,内蒙古自治区,华北,46.076268,122.070317,152200
