time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon,city_code
2021-04-18,3,13.7,19.6,8.4,12.0,0.0,10.9,18.4,148,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-19,3,15.4,21.2,8.4,13.9,0.0,12.0,23.4,171,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-20,63,16.4,20.1,13.9,16.7,14.6,11.0,20.9,46,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-21,61,16.0,18.6,14.1,15.6,5.3,13.1,26.6,6,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-22,53,16.2,20.5,12.8,15.7,2.5,14.1,28.4,1,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-23,3,16.9,20.1,13.6,16.4,0.0,18.2,32.0,51,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-24,53,14.0,15.0,13.4,11.7,3.8,23.2,41.4,21,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-25,51,14.8,17.2,13.1,13.2,0.2,18.4,34.9,19,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-26,51,13.4,15.8,11.6,12.8,0.6,10.1,20.5,347,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-27,3,17.2,24.2,10.4,17.1,0.0,13.5,26.6,334,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-28,3,17.2,22.1,13.1,16.0,0.0,17.6,32.8,300,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-29,3,21.2,27.5,15.1,19.7,0.0,26.3,49.0,224,信阳市,河南省,华中,32.123274,114.075031,411500
2021-04-30,51,23.7,30.4,18.4,23.6,0.3,26.0,41.8,240,信阳市,河南省,华中,32.123274,114.075031,411500
2021-05-01,0,19.9,26.6,13.1,19.5,0.0,22.3,45.0,78,信阳市,河南省,华中,32.123274,114.075031,411500
2021-05-02,3,18.2,20.4,14.6,15.5,0.0,25.3,46.8,74,信阳市,河南省,华中,32.123274,114.075031,411500
2021-05-03,65,15.2,18.1,13.3,14.2,46.1,18.8,52.2,359,信阳市,河南省,华中,32.123274,114.075031,411500
2021-05-04,51,18.4,24.6,13.1,17.7,0.6,22.3,41.8,337,信阳市,河南省,华中,32.123274,114.075031,411500
2021-05-05,3,18.9,24.9,12.1,17.8,0.0,10.1,17.6,253,信阳市,河南省,华中,32.123274,114.075031,411500
