time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon,city_code
2021-04-18,61,22.1,24.3,20.5,25.1,11.9,9.9,25.2,67,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-19,63,22.2,24.4,20.6,25.5,17.2,15.1,28.8,113,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-20,61,23.2,26.5,21.3,25.9,13.0,20.6,43.2,129,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-21,51,25.4,28.9,22.8,28.6,1.0,16.3,37.4,156,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-22,51,25.4,29.5,22.2,29.7,1.0,9.8,24.8,164,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-23,51,26.1,30.2,22.1,30.1,0.8,11.2,24.1,160,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-24,53,26.0,29.8,22.6,30.0,2.7,15.8,36.4,153,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-25,61,25.5,29.6,23.0,29.8,8.9,15.1,30.2,90,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-26,65,23.0,24.9,21.1,26.1,29.9,21.6,38.9,59,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-27,55,22.3,24.5,20.9,25.6,6.4,11.2,33.1,15,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-28,53,22.3,25.8,19.5,25.2,1.9,11.1,24.1,5,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-29,55,21.2,25.1,18.4,23.3,1.8,7.7,21.2,41,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-04-30,3,23.0,28.1,17.2,26.0,0.0,9.4,19.8,190,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-01,53,24.9,29.6,20.7,28.9,1.4,10.4,23.4,183,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-02,63,24.8,28.1,23.0,29.4,14.6,12.6,30.6,149,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-03,63,25.6,29.4,22.7,29.2,12.8,21.2,42.8,161,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-04,61,26.3,30.4,23.5,30.3,6.4,14.8,30.2,161,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-05,61,24.5,28.4,21.3,27.9,4.0,13.4,29.5,68,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-06,53,25.3,29.6,22.2,29.5,4.2,13.4,33.5,146,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-07,63,26.6,30.3,23.8,31.2,5.8,17.3,34.9,182,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-08,51,27.3,31.0,24.3,32.0,0.3,13.6,31.7,212,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-09,51,27.2,31.9,22.4,31.7,0.1,15.3,36.0,184,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-10,51,27.9,32.0,23.9,32.0,0.2,19.9,48.6,176,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-11,63,27.8,31.9,24.0,32.6,5.8,16.7,44.6,160,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-12,65,27.6,29.9,25.1,32.8,16.4,16.2,39.2,157,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-13,63,27.2,30.2,25.8,32.3,14.5,12.7,29.9,167,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-14,53,28.2,31.1,25.9,32.6,2.9,23.1,45.0,163,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-15,51,29.0,32.5,26.5,33.3,0.5,21.6,49.0,174,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-16,3,29.2,32.6,26.3,34.0,0.0,17.5,39.6,172,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-17,63,27.7,31.2,25.5,33.7,18.4,13.4,34.9,150,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-18,63,27.3,31.5,24.5,33.4,10.4,12.8,36.0,73,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-19,53,28.9,32.8,26.0,33.9,3.6,20.5,42.1,180,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-20,63,27.8,30.4,25.7,33.7,5.2,14.0,41.0,158,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-21,53,29.0,32.7,25.8,34.5,1.4,16.8,42.1,161,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-22,51,29.4,33.2,26.0,34.2,0.4,18.0,35.6,163,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-23,51,29.6,34.1,25.6,35.3,0.5,17.2,31.3,151,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-24,55,27.2,29.9,25.5,33.0,5.5,9.8,23.8,335,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-25,63,26.5,31.3,23.8,31.9,6.7,10.5,33.5,91,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-26,55,28.5,31.8,25.6,34.2,2.9,15.4,39.6,172,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-27,55,28.5,32.9,24.9,34.3,2.7,14.0,34.2,167,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-28,61,28.8,32.6,25.2,34.6,3.2,13.0,29.5,180,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-29,61,28.5,31.2,25.7,34.3,4.5,21.2,42.5,196,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-30,63,28.1,31.0,25.6,34.3,6.9,17.1,36.7,207,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-05-31,63,27.7,31.1,25.2,34.3,12.4,11.4,35.3,200,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-01,65,27.6,31.5,25.5,33.9,28.6,14.3,39.2,144,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-02,63,28.0,31.2,25.2,34.1,8.1,18.6,44.3,142,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-03,51,30.0,33.8,26.5,36.3,0.6,17.1,40.7,162,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-04,65,24.6,28.0,21.1,28.0,19.4,16.0,37.8,315,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-05,3,25.1,29.1,21.6,28.5,0.0,12.4,28.1,302,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-06,0,25.8,31.5,20.5,30.0,0.0,7.9,15.1,92,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-07,3,27.4,31.6,22.3,31.5,0.0,12.9,22.7,88,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-08,63,27.9,32.5,23.9,33.1,4.5,10.5,22.7,116,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-09,63,28.0,31.6,24.9,34.1,8.8,9.2,23.8,131,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-10,63,27.5,31.6,25.1,33.7,18.0,14.8,28.8,119,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-11,63,28.0,31.5,25.0,33.5,7.5,17.3,34.9,60,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-12,63,28.1,31.6,26.2,32.3,9.1,21.6,54.4,76,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-13,63,27.1,29.8,25.2,32.0,6.1,15.9,39.6,114,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-14,51,28.3,31.8,25.8,33.1,1.5,18.5,38.2,177,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-15,53,28.3,31.9,25.1,32.9,1.3,22.0,42.8,188,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-16,53,28.5,31.1,25.8,33.5,2.0,22.3,44.3,177,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-17,61,29.0,32.2,25.5,34.9,4.7,16.2,37.4,174,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-18,51,29.6,33.1,25.9,34.8,0.7,20.5,40.0,192,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-19,51,29.8,33.5,25.7,35.1,0.6,20.8,41.0,193,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-20,51,30.4,34.3,26.4,35.8,0.2,18.5,40.0,186,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-21,61,29.7,32.7,26.5,36.2,4.8,13.4,33.1,181,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-22,61,28.1,30.6,26.2,34.9,7.8,10.8,31.0,126,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-23,63,26.4,28.1,25.0,32.8,38.2,10.0,37.8,79,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-24,63,26.7,29.7,24.5,32.4,25.7,10.4,27.4,149,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-25,63,27.5,30.6,25.3,33.3,6.8,12.6,30.6,157,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-26,61,28.2,32.0,25.2,33.9,4.1,21.3,42.5,170,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-27,55,29.0,31.9,26.0,34.2,3.7,22.0,46.8,187,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-28,61,28.6,30.5,26.0,33.8,10.8,22.7,45.4,180,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-29,63,28.7,31.2,27.0,34.1,8.6,21.8,48.2,177,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-06-30,63,28.6,31.3,26.7,34.0,10.8,20.1,45.7,175,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-01,53,29.4,32.5,26.4,34.3,1.5,25.6,52.2,187,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-02,61,29.5,32.7,27.4,34.1,3.9,25.9,51.5,192,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-03,61,29.5,32.8,26.9,35.2,6.5,18.9,42.5,183,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-04,53,29.3,33.3,26.1,35.8,3.1,15.9,32.8,154,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-05,51,29.4,33.3,25.4,35.1,0.4,11.2,24.1,134,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-06,53,29.1,32.9,25.4,35.2,1.4,10.8,24.5,112,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-07,61,28.4,32.0,25.5,33.3,7.0,17.6,40.7,95,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-08,51,28.5,32.4,25.2,33.2,1.4,16.4,41.8,128,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-09,51,28.8,32.7,24.9,33.7,1.4,13.7,28.4,148,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-10,3,28.9,33.7,23.8,34.2,0.0,9.2,18.7,166,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-11,51,28.9,33.2,24.5,34.0,1.0,12.0,25.2,187,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-12,51,29.4,32.8,25.7,34.9,1.5,13.5,34.2,185,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-13,61,29.5,33.6,25.2,35.0,2.1,16.0,33.8,181,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-14,53,29.7,32.8,26.6,35.4,1.6,12.7,29.5,177,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-15,2,30.0,34.2,25.2,35.4,0.0,11.0,27.0,174,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-16,3,30.1,34.0,25.5,35.9,0.0,11.2,27.0,193,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-17,51,29.8,33.8,26.0,35.3,0.1,15.1,29.2,164,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
2021-07-18,53,29.1,33.7,26.1,35.1,1.5,10.5,25.6,122,玉林市,广西壮族自治区,华南,22.63136,110.154393,450900
