time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon,city_code
2021-04-18,51,23.5,25.7,21.7,23.7,1.0,24.3,50.0,93,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-19,53,22.1,22.9,21.5,21.3,1.6,24.0,45.4,91,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-20,51,23.0,24.6,22.1,23.0,0.3,25.1,47.5,101,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-21,3,23.6,25.9,21.5,25.7,0.0,16.5,37.4,117,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-22,3,23.7,26.5,20.3,26.6,0.0,14.7,34.9,157,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-23,51,25.5,29.8,22.0,29.6,0.3,13.0,29.2,199,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-24,51,25.1,27.5,23.5,28.6,1.6,22.5,47.9,133,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-25,55,25.2,27.8,23.4,28.6,5.6,20.0,37.4,126,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-26,63,22.9,25.2,21.7,24.4,24.8,23.1,43.2,86,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-27,63,23.4,24.5,22.8,26.2,20.4,22.3,43.2,97,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-28,65,23.8,25.7,21.8,27.0,30.0,16.6,31.0,96,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-29,53,22.9,26.8,20.1,24.5,2.2,16.5,35.6,359,珠海市,广东省,华南,22.224979,113.553986,440400
2021-04-30,3,22.8,26.9,18.4,25.6,0.0,12.5,28.4,183,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-01,3,24.3,27.6,20.2,28.2,0.0,15.0,34.6,207,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-02,55,25.2,28.0,22.5,29.8,3.9,11.2,25.9,161,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-03,53,24.6,26.1,23.0,27.2,3.9,25.9,51.5,113,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-04,63,26.1,28.6,24.2,30.8,8.2,17.9,37.4,183,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-05,51,25.8,28.9,23.0,30.2,0.8,17.4,37.1,20,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-06,51,24.9,26.4,24.1,28.0,0.1,19.2,39.6,113,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-07,3,25.5,27.6,23.0,30.0,0.0,14.0,29.9,172,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-08,3,26.5,29.1,22.9,30.9,0.0,20.3,41.8,214,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-09,51,27.1,29.9,25.3,31.9,0.5,21.5,43.9,207,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-10,51,27.2,29.6,25.2,31.5,0.2,19.7,41.4,192,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-11,61,27.8,29.6,26.1,32.3,4.8,24.8,49.7,190,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-12,61,28.3,30.8,26.4,33.4,3.6,23.3,47.5,197,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-13,53,28.4,30.9,26.5,33.5,2.2,21.0,45.4,182,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-14,53,28.1,29.9,26.8,33.0,4.1,19.2,46.8,176,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-15,51,28.8,31.0,27.0,33.3,0.5,21.9,46.4,183,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-16,51,29.1,31.6,27.0,33.5,0.8,22.1,46.4,193,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-17,53,28.9,31.1,27.4,34.4,1.8,17.3,41.8,195,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-18,53,28.7,31.1,26.4,33.9,3.4,22.6,51.5,206,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-19,51,29.4,31.7,27.6,33.5,0.6,25.8,52.9,193,珠海市,广东省,华南,22.224979,113.553986,440400
2021-05-20,53,29.6,32.2,28.0,33.8,1.0,24.7,50.8,206,珠海市,广东省,华南,22.224979,113.553986,440400
