time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon,city_code
2021-04-17,2,12.6,18.8,7.1,8.0,0.0,17.7,37.1,298,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-18,0,16.2,24.2,8.7,11.9,0.0,22.8,44.3,199,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-19,3,19.4,27.1,12.1,16.5,0.0,18.8,33.5,192,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-20,3,18.2,23.1,12.4,15.7,0.0,18.5,38.5,185,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-21,51,15.1,18.5,11.1,13.7,0.3,10.1,23.0,9,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-22,61,14.6,18.1,10.9,13.1,5.4,15.4,33.8,31,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-23,3,13.9,20.1,9.1,11.0,0.0,25.7,49.7,31,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-24,3,15.2,20.4,11.2,12.4,0.0,25.8,50.8,38,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-25,3,15.0,19.5,10.9,12.1,0.0,13.8,30.6,67,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-26,51,14.5,18.2,10.8,12.3,0.5,14.8,29.2,151,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-27,3,18.7,24.8,12.8,15.6,0.0,18.2,35.3,294,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-28,3,16.9,22.4,10.1,13.0,0.0,21.3,45.0,263,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-29,3,17.0,22.8,11.0,12.1,0.0,31.5,64.4,309,衡水市,河北省,华北,37.735097,115.665993,131100
2021-04-30,51,13.8,19.0,8.6,9.7,0.2,23.6,47.5,73,衡水市,河北省,华北,37.735097,115.665993,131100
2021-05-01,2,15.8,23.6,8.6,12.1,0.0,19.0,41.0,326,衡水市,河北省,华北,37.735097,115.665993,131100
2021-05-02,3,14.9,21.0,7.1,11.7,0.0,17.1,30.6,165,衡水市,河北省,华北,37.735097,115.665993,131100
2021-05-03,53,16.1,21.2,11.8,13.0,0.5,23.9,45.7,183,衡水市,河北省,华北,37.735097,115.665993,131100
2021-05-04,3,17.9,23.7,12.5,14.4,0.0,26.8,53.6,323,衡水市,河北省,华北,37.735097,115.665993,131100
2021-05-05,0,19.3,27.8,9.3,14.8,0.0,28.0,50.4,198,衡水市,河北省,华北,37.735097,115.665993,131100
2021-05-06,3,23.8,31.5,17.7,18.3,0.0,36.9,72.0,245,衡水市,河北省,华北,37.735097,115.665993,131100
2021-05-07,0,20.7,26.4,15.2,15.9,0.0,26.3,49.3,275,衡水市,河北省,华北,37.735097,115.665993,131100
2021-05-08,3,22.1,28.0,16.0,17.9,0.0,22.1,41.8,98,衡水市,河北省,华北,37.735097,115.665993,131100
2021-05-09,3,20.9,27.4,13.1,18.4,0.0,13.5,29.9,106,衡水市,河北省,华北,37.735097,115.665993,131100
2021-05-10,3,19.8,24.5,14.9,16.7,0.0,18.8,41.0,52,衡水市,河北省,华北,37.735097,115.665993,131100
