time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon,city_code
2021-04-18,61,15.4,16.6,12.8,15.2,17.7,12.9,24.5,63,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-19,53,15.1,19.3,11.9,15.4,2.7,8.6,16.2,128,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-20,53,18.9,24.2,14.1,20.2,1.5,13.6,26.6,124,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-21,61,21.3,26.2,16.7,23.9,4.4,8.7,16.9,94,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-22,53,20.1,24.1,18.2,21.6,3.7,15.1,26.6,86,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-23,53,20.2,23.8,17.4,21.4,0.9,15.1,29.5,79,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-24,55,18.9,22.0,14.6,19.8,5.5,18.8,34.6,37,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-25,61,15.8,18.6,13.8,15.4,7.0,14.2,28.8,26,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-26,61,16.1,18.4,14.8,16.4,5.7,10.7,20.2,64,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-27,53,16.3,20.3,13.5,16.7,3.5,10.2,19.4,72,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-28,55,16.3,20.5,13.2,17.0,5.1,10.6,21.6,329,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-29,3,19.4,26.4,12.6,20.3,0.0,10.7,22.0,233,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-04-30,3,21.7,30.2,12.8,22.5,0.0,14.8,29.2,233,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-01,3,23.2,31.0,15.1,25.4,0.0,11.1,19.8,226,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-02,3,24.4,30.5,18.5,27.6,0.0,12.7,23.4,127,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-03,63,24.9,29.4,22.0,27.9,18.7,20.9,45.0,176,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-04,65,20.4,24.8,16.8,20.9,46.1,19.4,51.1,36,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-05,3,20.8,24.5,17.3,21.6,0.0,11.4,24.5,60,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-06,51,21.2,26.4,17.3,23.5,1.1,7.7,28.4,72,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-07,61,21.7,26.4,17.9,24.5,3.7,13.0,26.6,323,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-08,63,22.6,28.1,18.7,25.2,10.3,10.2,19.1,235,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-09,3,25.0,30.6,19.0,28.9,0.0,12.6,23.0,219,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-10,53,26.1,30.8,21.5,30.3,1.4,18.1,38.5,217,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-11,63,23.1,24.8,21.6,26.8,24.5,13.8,54.0,64,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-12,61,22.5,26.5,20.5,25.5,11.8,15.5,27.7,80,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-13,61,24.0,28.4,21.1,27.3,5.1,19.1,35.6,144,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-14,51,26.8,31.4,22.5,30.0,0.1,22.4,59.0,179,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-15,51,28.0,32.7,24.7,31.6,0.1,21.0,59.4,185,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-16,63,22.4,25.8,17.8,24.9,49.4,17.1,37.1,35,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-17,55,17.4,19.3,15.4,18.1,3.1,10.2,21.6,21,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-18,63,16.6,19.5,13.9,17.4,14.1,10.2,17.6,96,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-19,61,17.6,20.2,15.1,19.1,7.6,7.0,36.4,333,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-20,61,17.0,19.0,14.4,17.8,4.4,7.9,25.9,267,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-21,63,17.6,22.0,13.9,18.9,11.3,9.1,29.5,153,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-22,53,20.6,24.7,17.6,23.1,2.2,9.7,34.6,73,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-23,61,20.0,21.8,17.5,21.9,13.1,12.6,24.1,36,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-24,61,20.6,24.8,16.7,21.9,7.1,12.1,25.9,71,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-25,53,21.3,25.5,17.6,23.5,2.3,10.7,17.6,82,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-26,63,24.4,30.5,19.9,28.5,12.9,13.6,50.4,252,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-27,63,21.0,22.2,17.6,23.5,16.5,7.2,16.9,250,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-28,53,21.4,26.9,17.7,23.9,1.5,13.1,22.3,27,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-29,61,21.1,23.6,19.2,24.1,13.0,4.5,25.2,129,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-30,3,21.0,23.8,18.5,23.6,0.0,9.6,29.5,227,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-05-31,3,22.6,27.5,17.5,26.0,0.0,8.8,16.2,63,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-01,55,25.2,29.6,21.6,29.9,3.1,9.6,18.4,77,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-02,63,25.8,30.5,22.5,31.0,8.9,11.1,21.2,137,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-03,65,22.9,27.6,18.1,26.4,40.9,20.5,42.1,5,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-04,3,20.8,26.2,16.2,22.0,0.0,7.4,15.5,291,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-05,3,22.1,29.5,13.9,24.7,0.0,8.8,18.7,224,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-06,3,23.9,31.0,16.9,27.3,0.0,8.0,15.5,125,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-07,3,24.9,31.1,20.0,28.3,0.0,9.0,15.1,98,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-08,3,26.5,32.6,20.5,30.8,0.0,8.3,16.6,114,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-09,3,27.0,31.9,21.9,31.8,0.0,12.2,20.5,69,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-10,63,25.7,28.5,23.1,30.7,8.8,10.6,19.8,77,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-11,51,24.9,28.5,22.2,29.2,0.3,13.2,24.8,85,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-12,51,26.7,31.2,23.0,31.7,1.3,10.9,20.9,104,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-13,51,28.1,32.0,23.8,33.3,0.3,12.8,23.0,162,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-14,51,28.4,32.0,24.8,32.8,0.8,15.1,29.5,183,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-15,51,28.7,32.7,24.5,33.3,0.6,15.0,29.9,196,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-16,51,28.9,33.2,24.6,33.8,0.1,12.5,25.9,198,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-17,51,29.2,33.4,25.0,35.3,0.4,10.1,31.0,189,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-18,61,28.6,33.2,24.9,34.3,3.6,14.1,29.9,93,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-19,63,26.2,31.6,22.6,30.6,6.0,12.1,31.0,75,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-20,55,24.5,28.8,21.6,28.2,3.7,12.6,36.7,71,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-21,53,24.7,29.0,21.1,28.3,1.6,4.2,14.0,93,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-22,51,25.7,30.4,21.4,29.5,0.1,11.2,23.0,10,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-23,51,26.5,29.2,23.3,30.8,0.4,7.9,19.4,44,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-24,2,27.7,32.0,23.5,32.5,0.0,7.3,15.1,66,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-25,61,28.3,32.5,24.4,33.9,2.5,7.3,19.4,118,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-26,51,29.3,33.0,25.1,34.6,0.8,11.9,27.7,187,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-27,63,28.9,32.8,25.0,34.6,8.9,11.7,35.6,201,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-28,63,27.4,31.0,25.5,33.5,29.9,9.4,23.8,83,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-29,65,26.1,29.2,24.4,31.9,68.7,7.6,29.2,112,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-06-30,63,25.7,26.9,24.4,31.4,26.6,11.2,27.7,141,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-01,61,26.5,29.2,24.5,32.1,11.8,8.3,34.6,184,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-02,63,26.8,30.4,24.8,32.7,21.0,7.9,33.5,209,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-03,63,27.0,29.8,24.8,32.8,17.5,13.7,40.3,219,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-04,63,26.6,30.1,24.2,32.6,17.3,9.6,29.5,117,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-05,61,28.5,32.8,24.6,35.3,2.3,8.6,36.0,161,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-06,3,29.0,33.7,23.9,34.8,0.0,10.5,23.0,184,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-07,3,29.4,34.0,24.8,35.1,0.0,11.4,20.2,162,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-08,51,29.1,32.2,25.3,34.3,0.3,13.9,38.9,198,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-09,51,28.7,32.9,24.5,34.0,0.3,13.2,35.6,228,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-10,3,28.8,33.6,23.8,33.2,0.0,14.8,33.5,205,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-11,3,29.2,33.8,24.8,32.7,0.0,20.9,37.1,197,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-12,3,29.2,33.7,24.0,32.7,0.0,18.8,36.4,198,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-13,3,29.5,34.5,24.9,33.7,0.0,17.4,33.5,208,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-14,2,29.7,34.5,24.6,34.4,0.0,11.7,24.5,207,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-15,3,30.1,34.7,24.9,34.9,0.0,11.7,25.9,198,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-16,3,30.1,35.1,25.0,35.2,0.0,7.3,22.3,238,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-17,3,29.0,32.9,25.0,34.1,0.0,10.9,20.2,86,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-18,51,27.4,31.5,25.5,33.0,0.4,15.6,28.8,58,邵阳市,湖南省,华中,27.237842,111.46923,430500
2021-07-19,51,27.7,31.8,24.3,33.2,0.1,13.1,25.2,78,邵阳市,湖南省,华中,27.237842,111.46923,430500
