time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon,city_code
2021-04-18,61,26.4,28.6,24.6,30.9,6.4,16.3,34.2,218,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-19,51,26.8,30.0,24.0,31.1,0.4,26.1,51.1,190,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-20,51,27.8,32.5,24.4,31.9,0.5,26.1,50.4,181,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-21,51,27.8,31.8,23.5,31.4,0.2,26.6,51.1,184,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-22,3,27.6,31.2,24.1,31.9,0.0,18.9,38.9,199,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-23,0,28.2,32.2,24.5,31.7,0.0,27.5,54.4,192,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-24,2,29.5,34.0,25.7,32.8,0.0,29.5,56.9,184,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-25,51,29.0,32.7,25.2,34.0,0.9,15.7,40.3,101,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-26,63,28.0,32.4,25.2,33.2,7.2,16.6,39.6,34,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-27,53,26.8,29.3,25.6,31.8,3.8,15.3,33.5,357,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-28,61,26.7,29.1,24.6,31.5,5.7,14.7,32.4,3,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-29,55,25.3,27.5,23.8,27.4,2.3,23.7,47.2,32,东方市,海南省,华南,19.10198,108.653789,469007
2021-04-30,51,25.7,28.6,22.6,29.7,0.1,11.5,36.4,3,东方市,海南省,华南,19.10198,108.653789,469007
2021-05-01,63,27.3,30.6,24.2,32.5,4.5,18.1,39.2,195,东方市,海南省,华南,19.10198,108.653789,469007
