time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon,city_code
2021-04-17,0,3.8,11.8,-4.2,-1.0,0.0,15.4,30.2,260,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-18,3,8.7,17.0,0.0,3.7,0.0,20.6,40.3,208,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-19,3,12.6,19.0,4.2,8.8,0.0,12.6,19.8,80,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-20,51,15.2,21.0,5.8,11.2,0.1,22.7,37.4,149,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-21,53,13.5,16.7,10.4,9.4,0.8,22.0,40.0,188,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-22,55,12.1,17.6,7.5,9.5,2.0,18.9,32.4,172,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-23,3,14.4,21.0,6.8,10.8,0.0,22.1,42.1,99,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-24,3,13.5,17.5,8.7,9.2,0.0,23.5,42.1,160,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-25,51,8.9,11.4,6.7,4.4,1.2,32.4,56.5,193,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-26,3,6.5,10.1,3.5,0.1,0.0,37.8,67.3,278,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-27,2,4.8,9.4,0.8,-1.7,0.0,34.0,61.2,299,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-28,51,5.7,12.4,-1.0,-0.9,0.1,47.8,83.9,287,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-29,71,7.6,12.4,3.3,1.7,0.3,35.2,63.4,325,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-04-30,51,8.7,11.7,4.8,1.6,0.2,42.0,74.2,319,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-05-01,3,11.1,18.3,2.8,6.9,0.0,17.8,35.6,16,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
2021-05-02,51,14.4,22.9,6.9,8.6,0.5,37.4,65.2,184,鄂尔多斯市,内蒙古自治区,华北,39.817179,109.99029,150600
